customer_no,productions,tickets,revenues,days_last,days_max,days_mean,weekdays,weekends,email_engagement,email_unsubscribe,membership,years_member,membership_dropped,membership_downgraded,mosaic,fss,london,uk,proximity,churned
357,8,10,1260,70,1005,195,0.5,0.5,0.55,N,I,3,N,N,L,O,N,Y,B,1
358,6,6,122,224,378,149,0.83,0.17,0.63,N,A,0,X,X,A,B,Y,Y,A,1
359,67,163,21772,8,106,24,0.67,0.33,0.69,N,M,5,N,N,A,F,Y,Y,A,0
360,31,82,5094,70,278,44,0.58,0.42,0.1,N,I,5,N,N,N,G,Y,Y,A,1
361,49,82,3931.5,69,106,32,0.49,0.51,0.63,N,I,5,N,N,B,F,N,Y,B,0
362,20,20,763,17,270,79,0.95,0.05,0.45,N,A,0,X,X,O,C,N,Y,B,0
363,10,17,1419,42,299,86,0.3,0.7,0.35,N,A,0,X,X,O,C,N,Y,B,1
364,9,9,372.2,52,777,170,0.44,0.56,0.41,N,I,3,N,N,A,B,Y,Y,A,0
365,13,23,4067,28,597,118,0.77,0.23,0.75,N,I,5,N,N,N,G,N,Y,B,0
366,13,24,3344.2,24,443,132,0.85,0.15,0.34,N,I,3,N,N,A,B,Y,Y,A,1
367,10,20,610,12,379,86,0.9,0.1,0.22,N,A,0,X,X,A,B,Y,Y,A,1
368,6,11,1084,151,428,258,0.67,0.33,0.22,N,I,4,N,N,C,F,N,Y,B,0
369,6,8,1350.5,65,329,88,1,0,0.85,N,A,0,X,X,A,G,N,Y,B,1
370,8,11,1474,20,433,200,0.5,0.5,0,Y,A,0,X,X,A,M,Y,Y,A,0
371,7,18,3158,116,480,230,1,0,0.1,N,A,0,X,X,A,F,N,Y,B,0
372,10,16,648,126,385,164,0.8,0.2,0.85,N,A,0,X,X,G,K,N,Y,B,1
373,24,48,3186,0,275,70,0.83,0.17,0.72,N,J,5,N,N,B,M,N,Y,B,0
374,10,11,627,86,410,162,0.8,0.2,0.02,N,A,0,X,X,A,M,Y,Y,A,1
375,71,125,5928.8,77,109,22,0.72,0.28,0.55,N,J,5,N,N,B,M,N,Y,B,1
376,92,190,27796.28,1,142,17,0.63,0.37,0.55,N,J,5,N,N,A,F,Y,Y,A,0
377,7,15,2589,261,508,175,0.57,0.43,0.48,N,I,4,N,N,B,F,N,Y,B,1
378,6,8,725,147,413,277,0.83,0.17,0.53,N,A,0,X,X,X,X,N,N,D,1
379,52,76,1431,42,182,28,0.65,0.35,0.42,N,A,0,X,X,A,B,Y,Y,A,0
380,6,14,581,298,626,151,0.5,0.5,0.14,N,A,0,X,X,A,F,N,Y,B,1
381,41,84,2030,70,206,39,0.54,0.46,0.6,N,I,5,N,N,A,B,Y,Y,A,0
382,6,11,190,126,568,283,0.83,0.17,0.4,N,A,0,X,X,B,B,N,Y,B,0
383,30,31,760,126,158,50,0.9,0.1,0.29,N,A,0,X,X,A,G,Y,Y,A,1
384,10,15,1020,124,471,142,0.6,0.4,0.7,N,A,0,X,X,A,B,Y,Y,A,0
385,7,22,430,243,240,89,0.71,0.29,0.13,N,A,0,X,X,A,B,Y,Y,A,1
386,7,7,1023,146,956,197,0.57,0.43,0.41,N,A,0,X,X,X,X,N,N,D,1
387,6,12,1850,37,412,263,0.83,0.17,0.79,N,A,0,X,X,B,F,N,Y,B,1
388,7,8,497,7,617,266,1,0,0.66,N,A,0,X,X,X,X,N,N,C,1
389,12,14,1102,42,539,142,0.33,0.67,0.64,N,A,0,X,X,B,M,N,Y,B,0
390,6,15,2254,271,598,266,0,1,0.6,N,A,2,Y,N,X,X,N,N,C,1
391,8,8,297.88,279,462,169,1,0,0.1,N,A,0,X,X,X,X,N,N,D,1
392,10,20,358,126,350,133,0.6,0.4,0.46,N,A,0,X,X,A,G,Y,Y,A,1
393,47,91,12989,154,209,32,0.11,0.89,0.74,N,J,5,N,N,A,M,Y,Y,A,0
394,7,7,180.3,71,186,53,0.71,0.29,0.02,N,A,0,X,X,K,J,Y,Y,A,0
395,9,20,3555,70,690,178,0.67,0.33,0.54,N,K,2,N,N,A,B,N,N,D,0
396,94,145,19542,7,193,17,0.77,0.23,0.28,N,L,5,N,N,B,M,N,Y,B,0
397,7,14,918,42,553,241,0.14,0.86,0.54,N,A,0,X,X,G,B,N,Y,B,1
398,7,7,601.45,257,392,131,0.86,0.14,0.65,N,A,0,X,X,X,X,N,N,D,1
399,11,33,2328,26,618,159,0.36,0.64,0.23,N,I,5,N,N,C,F,N,Y,B,1
400,8,16,860,126,424,89,0.5,0.5,0.36,N,A,0,X,X,G,A,N,Y,B,1
401,43,66,5414,66,190,37,0.74,0.26,0.67,N,I,5,N,N,A,F,Y,Y,A,0
402,14,35,2687,154,364,113,0.29,0.71,0.43,N,I,5,N,N,C,F,N,Y,B,0
403,6,12,500.6,48,379,183,1,0,0.96,N,A,0,X,X,N,N,Y,Y,A,1
404,6,12,188,343,526,241,0.83,0.17,0.59,N,A,0,X,X,A,G,Y,Y,A,1
405,29,73,9307,34,289,51,0.66,0.34,0.55,N,J,5,N,N,B,F,N,Y,B,0
406,6,10,177,140,338,172,1,0,0.25,N,A,0,X,X,A,F,Y,Y,A,1
407,12,32,2486,154,639,126,0.42,0.58,0.66,N,I,5,N,N,E,M,N,Y,B,0
408,6,12,624,30,367,75,0.67,0.33,0.89,N,A,0,X,X,X,X,N,N,D,1
409,6,12,2014,267,467,272,0.67,0.33,0.27,N,I,5,N,N,B,F,N,Y,B,1
410,13,21,248,42,742,113,0.15,0.85,0.69,N,A,0,X,X,N,G,N,Y,B,0
411,65,144,17827.34,7,106,25,0.48,0.52,0.22,N,L,5,N,N,A,B,Y,Y,A,0
412,6,14,592,21,1194,302,0.83,0.17,0.11,N,A,0,X,X,A,G,Y,Y,A,0
413,16,32,4254.9,162,469,96,0.31,0.69,0.61,N,I,5,N,N,C,M,N,Y,B,0
414,86,156,6963.6,70,113,18,0.31,0.69,0.61,N,I,5,N,N,B,B,N,Y,B,0
415,8,16,528,309,496,174,0.25,0.75,0.31,N,A,0,X,X,K,J,N,Y,B,1
416,12,23,1149,153,209,117,0.25,0.75,0.41,N,I,5,N,N,A,B,Y,Y,A,0
417,10,19,1285,63,598,173,0.2,0.8,0.6,N,I,5,N,N,B,B,N,Y,B,0
418,11,16,218,65,531,136,0.73,0.27,0.58,N,A,0,X,X,X,X,Y,Y,A,1
419,6,6,699,42,507,299,0.33,0.67,0.65,N,A,0,X,X,N,G,Y,Y,A,1
420,16,25,1177,246,371,90,0.56,0.44,0.66,N,A,0,X,X,B,B,N,Y,B,1
421,7,8,1510,12,282,125,1,0,0.92,N,A,0,X,X,A,B,Y,Y,A,0
422,6,12,2158,11,504,302,0.17,0.83,0.12,N,A,0,X,X,A,F,Y,Y,A,1
423,14,29,1562,111,322,113,0.71,0.29,0.13,N,I,5,N,N,E,M,N,Y,B,1
424,25,54,2730,70,199,65,0.72,0.28,0.37,N,I,5,N,N,C,M,N,Y,B,0
425,6,10,975,35,805,306,0.83,0.17,0.69,N,A,0,X,X,O,B,N,Y,B,0
426,8,13,1157,28,1052,156,0.88,0.12,0.68,N,I,5,N,N,A,B,Y,Y,A,1
427,8,18,3596,253,376,136,0.62,0.38,0.31,N,I,2,N,N,X,X,N,N,C,0
428,10,18,210,309,544,122,1,0,0.08,N,A,0,X,X,K,H,N,Y,B,1
429,22,52,5380,154,295,69,0.59,0.41,0.73,N,I,2,N,N,B,M,N,Y,B,0
430,11,22,1093.4,33,527,144,0.27,0.73,0.7,N,A,0,X,X,C,F,N,Y,B,1
431,9,18,1836,42,370,195,0.67,0.33,0.58,N,F,1,N,N,B,F,N,Y,B,0
432,8,8,270,126,456,198,0.5,0.5,0.65,N,A,0,X,X,L,O,N,Y,B,0
433,7,10,1919,79,495,174,0.43,0.57,0.71,N,K,2,N,N,X,X,N,Y,B,1
434,26,55,1943.5,42,204,62,0.81,0.19,0.58,N,A,0,X,X,A,B,Y,Y,A,1
435,7,18,945,113,361,101,0.71,0.29,0.49,N,A,0,X,X,A,B,Y,Y,A,0
436,8,12,120.5,288,367,123,0.5,0.5,0.34,N,A,0,X,X,A,B,Y,Y,A,1
437,6,12,682,309,309,222,0.5,0.5,0.18,N,A,0,X,X,C,M,N,Y,B,1
438,34,121,22510.5,70,113,47,0.06,0.94,0.55,N,I,5,N,N,A,M,Y,Y,A,0
439,14,24,4072,15,325,120,0.43,0.57,0.65,N,I,5,N,N,C,F,N,Y,B,0
440,26,49,1421,36,241,63,0.58,0.42,0.45,N,A,0,X,X,A,B,Y,Y,A,0
441,25,25,1160.9,28,217,65,0.76,0.24,0.69,N,I,2,N,N,C,M,N,Y,B,0
442,30,59,8993,8,602,56,0.47,0.53,0.48,N,M,4,N,N,C,F,N,Y,B,0
443,17,42,1351,68,266,97,0.65,0.35,0.56,N,I,5,N,N,B,F,N,Y,B,0
444,23,55,3854,286,315,61,0.65,0.35,0.54,N,A,3,X,X,B,F,N,Y,B,0
445,12,12,480.05,42,347,124,0.42,0.58,0,Y,A,0,X,X,O,A,N,Y,B,0
446,99,135,3772,70,167,15,0.57,0.43,0.34,N,I,5,N,N,A,G,Y,Y,A,0
447,42,83,16275,8,221,39,0.71,0.29,0.61,N,M,5,N,N,X,X,N,N,C,1
448,7,20,1864.75,321,847,218,0.43,0.57,0.71,N,A,0,X,X,A,F,Y,Y,A,1
449,14,28,4658,42,403,86,0.79,0.21,0.17,N,A,0,X,X,A,B,Y,Y,A,1
450,9,29,3921.56,309,1073,161,0.67,0.33,0.2,N,A,0,X,X,B,F,N,Y,B,1
451,25,49,2134.8,1,293,64,0.36,0.64,0.63,N,I,5,N,N,B,F,N,Y,B,0
452,34,68,4348.28,1,197,49,0.82,0.18,0.49,N,I,5,N,N,E,N,N,Y,B,0
453,9,11,500,216,371,146,0.78,0.22,0.63,N,A,0,X,X,A,B,Y,Y,A,0
454,24,28,1151.5,126,337,63,0.33,0.67,0.89,N,I,3,N,N,E,M,N,Y,B,0
455,8,21,2172,8,410,146,0.5,0.5,0.6,N,A,0,X,X,A,G,N,Y,B,1
456,6,15,963,74,534,268,0.67,0.33,0.37,N,A,0,X,X,A,B,N,Y,B,1
457,9,9,279,210,357,124,0.78,0.22,0.9,N,A,0,X,X,A,G,Y,Y,A,1
458,7,14,1193.6,137,543,203,0.71,0.29,0.61,N,I,4,N,N,C,F,N,Y,B,0
459,12,13,1842,35,649,135,0.83,0.17,0.4,N,I,5,N,N,A,F,Y,Y,A,1
460,7,7,364.76,49,52,12,0.71,0.29,0.19,N,A,0,X,X,E,G,N,Y,B,0
461,8,15,1298,8,750,208,0.75,0.25,0.41,N,A,0,X,X,B,F,Y,Y,A,0
462,13,35,1983,261,401,111,0.46,0.54,0.58,N,A,0,X,X,A,M,Y,Y,A,0
463,7,10,721,309,479,215,0.71,0.29,0.43,N,A,0,X,X,C,B,N,Y,B,1
464,34,36,2372.7,42,357,47,0.47,0.53,0.26,N,A,0,X,X,A,B,Y,Y,A,0
465,11,22,1062,122,309,91,0.64,0.36,0.26,N,A,2,X,X,E,M,N,Y,B,1
466,6,6,387,317,423,97,0.17,0.83,0.54,N,I,5,N,N,C,M,N,Y,B,0
467,12,17,1538,39,372,142,0.17,0.83,0.04,N,A,0,X,X,C,N,N,Y,B,0
468,50,50,2905.5,70,189,31,0.88,0.12,0.32,N,I,5,N,N,A,B,Y,Y,A,0
469,9,16,1825,239,278,107,0.67,0.33,1,N,A,0,X,X,C,F,N,Y,B,0
470,158,160,3129.5,70,106,9,0.66,0.34,0.24,N,I,5,N,N,A,B,Y,Y,A,0
471,53,105,2363.5,55,280,30,0.51,0.49,0.63,N,E,5,N,N,A,B,Y,Y,A,0
472,54,109,6211.2,0,266,30,0.39,0.61,0.5,N,J,4,N,N,A,M,Y,Y,A,0
473,8,16,2488,246,189,141,0.5,0.5,0.59,N,A,0,X,X,B,F,N,Y,B,1
474,8,14,363.4,292,427,134,0.5,0.5,0.38,N,A,0,X,X,G,C,Y,Y,A,0
475,10,10,119,126,434,112,0.6,0.4,0.35,N,A,0,X,X,C,F,N,Y,B,0
476,28,58,2306,70,210,57,0.61,0.39,0.21,N,I,5,N,N,A,F,Y,Y,A,0
477,17,23,1414,31,134,35,0.82,0.18,0.51,N,K,2,N,N,O,A,N,Y,B,0
478,10,11,496,144,896,124,0.4,0.6,0.35,N,A,0,X,X,A,A,Y,Y,A,1
479,6,12,128,279,1136,265,1,0,0.59,N,A,2,X,X,A,B,Y,Y,A,1
480,9,24,1022,69,170,65,0,1,0.33,N,E,2,N,N,A,F,Y,Y,A,1
481,8,16,202,42,193,39,0.62,0.38,0.55,N,A,0,X,X,C,F,N,Y,B,0
482,196,214,10603,2,103,8,0.72,0.28,0.59,N,K,4,N,N,A,G,Y,Y,A,0
483,24,24,1781,42,239,67,0.67,0.33,0.15,N,A,0,X,X,E,M,N,Y,B,0
484,7,20,1307,126,644,240,1,0,0.72,N,A,1,X,X,C,F,N,Y,B,1
485,49,87,1867,42,456,32,0.65,0.35,0.71,N,A,0,X,X,M,H,N,Y,B,1
486,6,17,1034,8,455,225,0.83,0.17,0.29,N,A,0,X,X,N,D,Y,Y,A,1
487,11,40,1867,120,421,151,0.64,0.36,0.24,N,I,5,N,N,C,M,N,Y,B,0
488,32,46,614,42,148,21,0.66,0.34,0.3,N,A,0,X,X,A,B,Y,Y,A,1
489,16,38,1124,30,92,14,0.56,0.44,0.3,N,I,2,N,N,A,B,N,Y,B,0
490,6,12,1038,126,623,274,0.5,0.5,0.46,N,A,0,X,X,B,F,N,Y,B,1
491,11,11,604,126,279,84,0.18,0.82,0.06,N,A,0,X,X,L,O,N,Y,B,1
492,7,21,776,42,638,260,0.43,0.57,0.46,N,A,0,X,X,A,B,Y,Y,A,1
493,6,8,1494,313,926,241,0.83,0.17,0.33,N,A,0,X,X,X,X,N,N,D,1
494,44,78,3655,70,201,36,0.57,0.43,0.75,N,I,5,N,N,B,M,N,Y,B,0
495,11,12,712.4,36,486,89,1,0,0.38,N,A,0,X,X,D,K,N,Y,B,1
496,24,50,2846,70,203,67,0.42,0.58,0.21,N,I,5,N,N,E,M,N,Y,B,0
497,6,13,162,309,512,237,0.67,0.33,0.27,N,A,0,X,X,G,B,N,Y,B,1
498,7,17,1229,107,573,235,0.43,0.57,0.19,N,A,0,X,X,A,B,Y,Y,A,1
499,9,34,3250,43,364,198,0.56,0.44,0.5,N,J,5,N,N,C,M,N,Y,B,0
500,17,23,2614.1,105,595,50,0.76,0.24,0.3,N,A,3,Y,N,A,F,N,Y,B,1
501,31,62,1652,61,231,51,0.48,0.52,0.21,N,I,2,N,N,N,I,N,Y,B,1
502,37,37,2263.66,42,322,44,0.08,0.92,0.66,N,A,3,X,X,L,O,N,Y,B,0
503,10,19,1012,225,530,141,1,0,0.13,N,A,0,X,X,F,N,N,Y,B,1
504,7,18,817,42,466,214,0.57,0.43,0.18,N,A,0,X,X,O,J,Y,Y,A,1
505,16,22,946,70,729,104,0.38,0.62,0.73,N,G,5,N,N,B,M,N,Y,B,1
506,15,27,4366.2,70,456,111,0.2,0.8,0.59,N,I,5,N,N,A,B,Y,Y,A,1
507,13,37,5862,41,269,127,0.69,0.31,0.08,N,A,0,X,X,C,M,N,Y,B,0
508,47,91,5681.1,0,182,33,0.11,0.89,0.21,N,J,5,N,N,A,G,N,Y,B,0
509,9,19,2385,8,366,197,0.67,0.33,0.4,N,A,0,X,X,A,F,N,Y,B,0
510,18,18,1087,177,207,75,0.17,0.83,0.68,N,A,0,X,X,A,B,Y,Y,A,0
511,19,28,1450.4,40,455,67,0.32,0.68,0.65,N,I,5,N,N,K,O,Y,Y,A,0
512,7,14,524,42,357,228,0.86,0.14,0.11,N,A,0,X,X,A,G,Y,Y,A,1
513,8,16,3222,42,294,195,0.38,0.62,0.67,N,A,0,X,X,N,G,N,Y,B,1
514,24,24,1993,43,169,68,0.5,0.5,0.58,N,A,0,X,X,N,G,Y,Y,A,0
515,15,15,786,38,381,84,0.6,0.4,0.06,N,A,0,X,X,A,B,Y,Y,A,1
516,6,8,898,246,838,183,0.33,0.67,0.72,N,I,5,N,N,X,X,N,N,C,1
517,9,9,285.6,126,25,9,0.67,0.33,0.91,N,A,0,X,X,A,B,Y,Y,A,1
518,6,13,509,25,414,288,0.5,0.5,0.69,N,A,0,X,X,H,C,Y,Y,A,0
519,19,22,2234.25,132,189,82,0.68,0.32,0.48,N,A,0,X,X,B,M,N,Y,B,1
520,13,55,5950.5,43,137,68,0.69,0.31,0.49,N,I,5,N,N,A,G,Y,Y,A,0
521,10,18,1355,154,435,164,0.3,0.7,0.63,N,I,5,N,N,G,F,N,Y,B,0
522,10,10,792,30,211,82,0.6,0.4,0.4,N,A,0,X,X,E,M,N,Y,B,0
523,12,22,403,14,492,144,0.92,0.08,0.55,N,A,2,X,X,O,C,Y,Y,A,0
524,34,84,4819,77,196,46,0.76,0.24,0.39,N,J,5,N,N,G,F,N,Y,B,0
525,8,9,485,292,561,169,0.38,0.62,0.15,N,A,0,X,X,A,B,Y,Y,A,0
526,11,14,245,85,717,147,0.27,0.73,0.16,N,A,0,X,X,C,G,N,Y,B,1
527,9,12,627.15,133,454,174,0.56,0.44,0.52,N,A,0,X,X,A,F,Y,Y,A,1
528,10,20,3580,218,160,84,0.9,0.1,0.32,N,A,0,X,X,B,G,N,Y,B,0
529,11,12,196,341,429,107,0.73,0.27,0.22,N,A,0,X,X,A,B,Y,Y,A,0
530,39,44,3696,168,168,38,0.59,0.41,0.76,N,K,5,N,N,A,B,Y,Y,A,0
531,13,22,1063,161,457,122,0.62,0.38,0.65,N,J,5,N,N,B,M,N,Y,B,1
532,80,80,4071.4,42,120,19,0.66,0.34,0.58,N,A,0,X,X,A,B,N,Y,B,0
533,10,11,484,246,388,129,0.7,0.3,0.62,N,A,0,X,X,A,F,N,Y,B,1
534,29,61,2997.5,154,314,49,0.41,0.59,0.13,N,I,5,N,N,B,F,N,Y,B,0
535,9,18,1240,40,503,180,1,0,0.59,N,A,0,X,X,G,K,N,Y,B,1
536,20,40,2518.4,362,363,61,0.75,0.25,0.08,N,I,5,N,N,A,F,Y,Y,A,1
537,41,71,8329,154,208,36,0.37,0.63,0.72,N,I,5,N,N,E,A,N,Y,B,0
538,7,14,1695.9,315,312,111,0.43,0.57,0.65,N,I,5,N,N,A,B,Y,Y,A,1
539,88,125,2546.5,28,190,18,0.64,0.36,0.65,N,I,5,N,N,A,B,Y,Y,A,0
540,21,31,960,60,724,76,0.71,0.29,0.41,N,I,1,N,N,K,L,Y,Y,A,0
541,14,29,4247.5,70,267,108,0.93,0.07,0.52,N,I,5,N,N,A,F,Y,Y,A,0
542,7,16,1148,60,414,178,1,0,0,Y,A,0,X,X,A,F,Y,Y,A,1
543,19,38,864,267,210,68,0.21,0.79,0.48,N,E,4,N,N,O,B,N,Y,B,1
544,17,35,1697.6,42,433,79,0.18,0.82,0.49,N,A,0,X,X,A,B,Y,Y,A,0
545,6,11,76,36,516,239,0.33,0.67,0.39,N,A,0,X,X,B,F,N,Y,B,1
546,65,65,3992.5,34,189,25,0.63,0.37,0.55,N,I,5,N,N,A,F,Y,Y,A,1
547,9,14,478,18,611,186,0.78,0.22,0.43,N,A,0,X,X,B,M,N,Y,B,0
548,9,18,564,126,372,184,0.11,0.89,0.54,N,A,0,X,X,K,C,Y,Y,A,0
549,7,18,1278,17,313,112,0.29,0.71,0.14,N,I,3,N,N,C,F,N,Y,B,1
550,35,84,12023,20,347,42,0.43,0.57,0.46,N,K,5,N,N,A,F,Y,Y,A,0
551,6,9,292,261,219,89,1,0,0.83,N,A,0,X,X,A,B,Y,Y,A,1
552,16,31,1692,210,574,87,0.75,0.25,0.61,N,I,5,N,N,A,B,Y,Y,A,0
553,23,35,1104,327,373,59,0.96,0.04,0.11,N,A,3,X,X,N,G,Y,Y,A,0
554,8,17,3358,69,799,180,0.62,0.38,0.51,N,A,2,X,X,X,X,N,N,C,1
555,7,7,666,161,140,58,0.43,0.57,0.42,N,A,0,X,X,O,C,N,Y,B,1
556,8,11,1769,48,742,217,0.88,0.12,0.07,N,A,0,X,X,X,X,N,N,D,1
557,10,20,2574,267,354,151,0.6,0.4,0.62,N,I,5,N,N,B,F,N,Y,B,0
558,11,14,194.5,254,677,123,0.64,0.36,0,Y,A,0,X,X,A,C,Y,Y,A,1
559,8,11,399,42,281,109,0.75,0.25,0.53,N,A,0,X,X,A,B,Y,Y,A,1
560,27,57,5543.6,49,343,58,0.41,0.59,0.48,N,A,0,X,X,A,F,Y,Y,A,0
561,8,8,545,42,609,134,0.5,0.5,0.4,N,A,0,X,X,X,X,N,N,C,1
562,31,41,1077,70,149,46,0.13,0.87,0.62,N,I,5,N,N,X,X,N,N,C,1
563,12,24,4852,77,373,141,0.92,0.08,0.34,N,J,5,N,N,A,F,Y,Y,A,0
564,6,13,1223.2,42,640,273,0.33,0.67,0.71,N,A,0,X,X,O,J,N,Y,B,0
565,14,33,1042,70,441,103,0.57,0.43,0.5,N,E,3,N,N,A,B,Y,Y,A,0
566,11,12,1489,93,117,32,0.73,0.27,0.57,N,A,0,X,X,A,B,Y,Y,A,0
567,6,7,514,31,55,24,0.67,0.33,0.93,N,A,0,X,X,A,F,Y,Y,A,0
568,66,132,16701.8,1,117,25,0.5,0.5,0.84,N,J,5,N,N,N,I,N,Y,B,0
569,18,47,1183,2,526,87,0.56,0.44,0.17,N,A,2,Y,N,N,C,N,Y,B,1
570,10,12,1854,64,363,143,0.9,0.1,0.36,N,A,0,X,X,A,B,Y,Y,A,0
571,6,7,333,251,441,256,0.17,0.83,0.12,N,A,0,X,X,D,G,N,Y,B,1
572,9,9,868.5,31,371,115,0.56,0.44,0.35,N,A,0,X,X,M,I,N,Y,B,0
573,46,94,10579.48,35,201,33,0.59,0.41,0.69,N,K,5,N,N,A,M,Y,Y,A,0
574,6,12,1314,63,618,289,0.17,0.83,0.53,N,I,5,N,N,X,X,N,N,D,1
575,6,14,1540,125,519,254,0.33,0.67,0.17,N,A,0,X,X,C,I,N,Y,B,1
576,10,19,2053,14,581,167,0.7,0.3,0.66,N,A,0,X,X,X,X,N,N,C,0
577,24,52,9024.9,30,305,66,0.5,0.5,0.35,N,J,5,N,N,X,X,N,N,D,0
578,10,22,2382.1,303,666,128,0.5,0.5,0.42,N,A,3,X,X,B,F,N,Y,B,0
579,96,212,32855.4,2,105,17,0.27,0.73,0.69,N,K,5,N,N,A,F,Y,Y,A,0
580,9,14,142,229,163,25,0.56,0.44,0.24,N,A,0,X,X,A,B,Y,Y,A,1
581,9,13,480,80,264,151,1,0,0.07,N,A,0,X,X,C,C,N,Y,B,1
582,10,20,3750,223,541,101,0.5,0.5,0.64,N,A,0,X,X,X,X,N,N,D,1
583,10,24,237,0,274,49,0.9,0.1,0,Y,A,0,X,X,B,B,N,Y,B,1
584,22,23,417.5,126,644,70,0.59,0.41,0.53,N,A,0,X,X,K,G,Y,Y,A,1
585,17,39,4835,35,351,53,0.76,0.24,0.08,N,K,5,N,N,A,F,Y,Y,A,0
586,14,35,2731.32,71,365,93,0.36,0.64,0.23,N,A,0,X,X,B,F,N,Y,B,0
587,21,40,1763.4,42,269,78,0.57,0.43,0.65,N,I,5,N,N,E,N,N,Y,B,1
588,40,46,838.5,34,238,39,0.52,0.48,0.71,N,A,0,X,X,N,B,Y,Y,A,0
589,7,15,936,330,364,199,0.43,0.57,0.06,N,I,5,N,N,A,G,Y,Y,A,0
590,35,35,5680.75,1,224,30,0.97,0.03,0.92,N,I,1,N,N,X,X,N,N,C,0
591,6,11,1380,246,630,257,0.67,0.33,0.08,N,A,0,X,X,A,F,Y,Y,A,0
592,10,10,170,42,446,172,0.7,0.3,0.14,N,A,0,X,X,G,G,N,Y,B,0
593,105,166,12390.9,34,107,15,0.38,0.62,0.73,N,J,5,N,N,B,F,N,Y,B,0
594,23,36,2175,126,366,59,0,1,0.3,N,A,0,X,X,B,M,N,Y,B,0
595,12,27,2621,124,376,124,0.75,0.25,0,Y,A,0,X,X,A,J,Y,Y,A,1
596,30,49,4795.39,35,379,55,0.37,0.63,0.59,N,I,5,N,N,A,G,N,Y,B,1
597,55,105,8653,2,175,30,0.45,0.55,0.4,N,K,5,N,N,C,M,N,Y,B,1
598,16,16,3376,0,294,94,0.62,0.38,0.91,N,J,2,N,N,X,X,N,N,D,1
599,7,10,394,166,353,135,0.71,0.29,0,Y,A,0,X,X,A,J,Y,Y,A,0
600,10,12,1703.9,174,580,162,0.4,0.6,0.6,N,L,5,N,N,B,M,N,Y,B,1
601,7,11,599,252,539,213,0.43,0.57,0.21,N,A,0,X,X,C,N,N,Y,B,1
602,11,20,1138,154,576,147,0.55,0.45,0.63,N,I,5,N,N,B,B,N,Y,B,0
603,9,20,1418,218,511,163,0.67,0.33,0.63,N,A,4,Y,N,A,F,Y,Y,A,0
604,73,127,8897,29,110,22,0.66,0.34,0.55,N,K,5,N,N,G,B,N,Y,B,0
605,6,11,820,28,845,305,0.83,0.17,0.23,N,A,0,X,X,A,B,Y,Y,A,0
606,12,24,2198.5,66,387,113,0.83,0.17,0.1,N,A,0,X,X,A,F,Y,Y,A,0
607,11,23,3886,167,442,146,0.91,0.09,0.57,N,I,5,N,N,A,M,Y,Y,A,1
608,6,12,1345.7,49,0,0,0.5,0.5,0.22,N,A,0,X,X,A,F,Y,Y,A,0
609,61,153,2209,70,117,26,0.66,0.34,0.21,N,I,5,N,N,B,M,N,Y,B,0
610,7,14,2083.3,116,752,186,0.29,0.71,0.34,N,A,0,X,X,B,F,N,Y,B,1
611,15,24,277,42,112,32,0.93,0.07,0.86,N,A,0,X,X,A,B,Y,Y,A,1
612,6,9,638,123,293,129,0.17,0.83,0.09,N,A,0,X,X,G,C,N,Y,B,1
613,7,12,76,321,380,102,0.86,0.14,0.61,N,A,0,X,X,A,B,Y,Y,A,1
614,6,11,1579,42,560,224,0.17,0.83,0.34,N,A,3,Y,N,A,F,Y,Y,A,1
615,11,12,1181,91,250,94,0.73,0.27,0.45,N,A,0,X,X,A,D,Y,Y,A,0
616,6,20,1120,309,728,238,0.83,0.17,0.11,N,A,0,X,X,A,M,Y,Y,A,1
617,8,13,230,42,255,81,0.75,0.25,0.76,N,A,0,X,X,G,K,N,Y,B,1
618,7,15,645,249,311,85,0.71,0.29,0.61,N,A,0,X,X,A,B,Y,Y,A,1
619,12,20,2736,271,310,101,0.75,0.25,0.51,N,J,5,N,N,B,F,N,Y,B,1
620,8,22,866,287,120,28,0.5,0.5,0.96,N,A,0,X,X,X,X,N,N,D,1
621,71,75,991,42,120,22,0.37,0.63,0.03,N,A,0,X,X,X,X,Y,Y,A,0
622,23,38,1891,42,204,71,0.35,0.65,0.4,N,A,0,X,X,A,B,Y,Y,A,0
623,18,27,3596.5,65,269,85,0.67,0.33,0.74,N,I,5,N,N,B,F,N,Y,B,1
624,7,14,2686,21,953,163,0.86,0.14,0.81,N,A,0,X,X,X,X,N,N,C,1
625,15,30,5036.5,75,269,111,0.47,0.53,0.44,N,J,5,N,N,A,M,Y,Y,A,1
626,8,21,302,126,590,211,0.75,0.25,0.38,N,A,0,X,X,A,B,N,Y,B,1
627,14,44,1606,67,260,60,0,1,0.77,N,I,3,N,N,G,B,Y,Y,A,0
628,8,8,250,327,167,39,0.88,0.12,0.24,N,A,0,X,X,X,X,N,N,D,1
629,7,16,571,309,545,208,0.29,0.71,0.78,N,A,0,X,X,N,G,N,Y,B,1
630,10,23,3981.8,202,441,148,0.6,0.4,0.62,N,A,0,X,X,A,B,Y,Y,A,0
631,6,12,2336,34,306,151,0.67,0.33,0.93,N,A,0,X,X,A,B,N,Y,B,0
632,373,500,13296,2,100,4,0.57,0.43,0.52,N,K,4,N,N,G,B,N,Y,B,0
