customer_no,productions,tickets,revenues,days_last,days_max,days_mean,weekdays,weekends,email_engagement,email_unsubscribe,membership,years_member,membership_dropped,membership_downgraded,mosaic,fss,london,uk,proximity,churned
146,13,30,702,36,361,99,0.92,0.08,0.7,N,A,0,X,X,A,A,Y,Y,A,1
147,8,19,2032,16,472,107,0.5,0.5,0.2,N,A,0,X,X,A,F,Y,Y,A,0
148,15,30,5480,0,811,116,0.8,0.2,0.59,N,J,5,N,N,C,F,N,Y,B,1
149,7,16,572,126,638,247,0.57,0.43,0.72,N,A,1,X,X,D,K,N,Y,B,1
150,35,63,1475.6,1,78,14,0.57,0.43,0.83,N,J,2,N,N,A,B,Y,Y,A,0
151,14,25,2923,35,665,122,0.29,0.71,0.33,N,A,3,X,X,X,X,N,N,D,0
152,30,58,1870.2,70,542,43,0.3,0.7,0.67,N,I,3,N,N,G,C,N,Y,B,1
153,16,25,2209,60,457,94,0.5,0.5,0.51,N,A,0,X,X,O,E,N,Y,B,0
154,15,16,770.5,207,276,90,0.73,0.27,0.16,N,A,0,X,X,A,G,Y,Y,A,1
155,11,11,706,70,364,154,0.73,0.27,0.67,N,I,5,N,N,X,X,N,N,C,1
156,29,37,2064,29,273,57,0.45,0.55,0.53,N,I,5,N,N,B,M,N,Y,B,0
157,7,14,1121,50,466,106,0.86,0.14,0.63,N,A,0,X,X,A,B,Y,Y,A,0
158,6,12,796.8,46,263,74,0.83,0.17,0.71,N,A,0,X,X,B,M,N,Y,B,1
159,8,16,201.34,77,1084,218,0.88,0.12,0,Y,A,0,X,X,A,B,Y,Y,A,1
160,13,25,1952,233,363,101,0.69,0.31,0.49,N,A,0,X,X,A,B,Y,Y,A,0
161,9,25,1601,120,870,170,0.56,0.44,0.34,N,A,0,X,X,A,M,N,Y,B,1
162,13,18,1429,126,419,125,0.69,0.31,0.13,N,A,4,Y,N,E,N,N,Y,B,1
163,7,10,216,312,408,90,0,1,0.76,N,A,0,X,X,A,B,Y,Y,A,1
164,18,21,717,39,428,92,0.67,0.33,0.07,N,A,0,X,X,A,O,Y,Y,A,0
165,6,12,290,106,908,299,0.33,0.67,0.58,N,A,0,X,X,C,M,N,Y,B,1
166,6,6,370,131,188,37,0.5,0.5,0.26,N,A,0,X,X,A,B,N,Y,B,1
167,13,28,502,309,280,91,0.54,0.46,0.09,N,A,0,X,X,N,B,N,Y,B,1
168,6,18,3468,76,1057,305,0.67,0.33,0.79,N,A,0,X,X,A,B,Y,Y,A,1
169,8,8,158,64,1055,218,0.75,0.25,1,N,A,0,X,X,K,G,Y,Y,A,0
170,23,47,814,267,163,40,0.61,0.39,0.38,N,I,4,N,N,N,E,Y,Y,A,1
171,7,14,2392,193,439,207,1,0,0.03,N,A,0,X,X,X,X,Y,Y,A,1
172,10,20,4148,21,598,148,0.6,0.4,0.47,N,A,0,X,X,B,F,N,Y,B,1
173,8,12,923,126,694,211,0.25,0.75,0.24,N,A,0,X,X,K,G,Y,Y,A,1
174,12,17,1678.45,47,593,134,0.25,0.75,0.22,N,A,0,X,X,A,B,Y,Y,A,1
175,9,20,429,133,289,60,0,1,0.89,N,A,0,X,X,G,G,N,Y,B,1
176,23,50,4310,70,313,71,0.74,0.26,0.48,N,I,5,N,N,A,F,Y,Y,A,0
177,9,14,978,106,591,108,1,0,0.36,N,A,0,X,X,A,G,Y,Y,A,1
178,29,38,493,69,192,52,0.62,0.38,0.7,N,I,5,N,N,B,F,Y,Y,A,0
179,6,23,2160,351,760,250,0,1,0.13,N,A,0,X,X,A,F,Y,Y,A,0
180,13,27,1373,24,303,83,0.08,0.92,0.13,N,A,0,X,X,B,F,N,Y,B,1
181,8,11,298,126,386,119,0.75,0.25,0.52,N,A,0,X,X,H,H,Y,Y,A,1
182,7,14,2460.6,321,200,49,0.14,0.86,0.48,N,A,0,X,X,A,B,Y,Y,A,1
183,15,28,1136,325,322,83,0.47,0.53,0.21,N,A,2,X,X,A,B,Y,Y,A,1
184,17,41,6215.4,0,538,93,0.47,0.53,0.11,N,J,3,N,N,A,F,Y,Y,A,1
185,20,20,306,8,355,35,0.8,0.2,0.37,N,A,0,X,X,X,X,N,N,D,1
186,49,102,1763,41,120,32,1,0,0.61,N,A,0,X,X,A,B,Y,Y,A,0
187,11,22,274,126,560,128,0.82,0.18,0.85,N,A,0,X,X,X,X,N,N,C,1
188,6,15,568,34,1113,314,0.83,0.17,0.31,N,E,2,N,N,A,F,Y,Y,A,1
189,6,14,1798,7,287,180,0.33,0.67,0.56,N,L,5,N,N,A,M,Y,Y,A,1
190,11,21,2516.5,314,663,131,0.55,0.45,0.18,N,I,5,N,N,C,F,N,Y,B,1
191,12,35,912,309,482,72,0.83,0.17,0.67,N,A,2,X,X,A,B,Y,Y,A,1
192,9,17,876,309,546,161,0.33,0.67,0.13,N,A,0,X,X,G,B,N,Y,B,0
193,8,11,350.65,49,339,141,0.5,0.5,0.54,N,A,0,X,X,O,J,N,Y,B,1
194,69,89,1565,2,202,22,0.23,0.77,0.06,N,A,0,X,X,A,B,Y,Y,A,0
195,30,56,1128,154,203,50,0.23,0.77,0.63,N,I,5,N,N,F,M,N,Y,B,0
196,28,32,4132,91,179,57,0.14,0.86,0.57,N,I,5,N,N,A,M,Y,Y,A,1
197,7,15,1807.5,244,289,149,0.86,0.14,0.62,N,A,0,X,X,B,F,N,Y,B,0
198,15,22,587,278,150,38,0.67,0.33,0.89,N,A,0,X,X,A,B,Y,Y,A,1
199,6,13,237,42,737,280,0.17,0.83,0.19,N,A,0,X,X,X,X,N,N,C,0
200,14,20,3099,267,1092,96,0.64,0.36,0.24,N,I,3,N,N,X,X,N,N,C,1
201,11,39,1714,126,643,147,0.91,0.09,0.15,N,A,0,X,X,A,F,Y,Y,A,1
202,6,12,708,0,468,199,0.83,0.17,0.4,N,A,0,X,X,O,J,N,Y,B,0
203,7,24,1144,42,287,150,0,1,0.43,N,A,0,X,X,G,G,N,Y,B,1
204,11,23,650,42,314,90,0.91,0.09,0.35,N,A,0,X,X,A,B,Y,Y,A,0
205,58,117,9210.98,2,134,28,0.67,0.33,0.61,N,K,5,N,N,C,F,N,Y,B,0
206,6,14,1220,134,490,210,1,0,0.67,N,A,0,X,X,J,A,N,Y,B,0
207,11,15,792,155,359,128,0.45,0.55,1,N,A,0,X,X,A,B,Y,Y,A,1
208,8,27,2697,240,630,176,0.5,0.5,0.61,N,A,2,X,X,A,F,Y,Y,A,1
209,9,19,468,42,267,91,0.56,0.44,0.49,N,A,0,X,X,G,B,N,Y,B,0
210,9,11,377,52,371,169,0.67,0.33,0.3,N,A,0,X,X,E,M,N,Y,B,0
211,6,6,298,42,84,16,0.67,0.33,0.13,N,A,0,X,X,A,B,Y,Y,A,0
212,8,16,856,42,995,223,0.38,0.62,0.62,N,A,1,X,X,B,M,N,Y,B,1
213,7,17,1854,28,721,267,0.57,0.43,0.14,N,A,1,X,X,A,F,Y,Y,A,1
214,12,13,626.25,70,194,52,0.83,0.17,0.83,N,J,1,N,N,O,A,N,Y,B,0
215,10,17,1918,68,792,169,0.7,0.3,0.26,N,I,5,N,N,A,B,Y,Y,A,1
216,7,12,362,73,697,228,1,0,0.33,N,A,0,X,X,B,B,N,Y,B,1
217,24,32,2300,0,184,58,0.62,0.37,0.51,N,J,5,N,N,A,M,Y,Y,A,1
218,19,19,417,329,416,66,0.37,0.63,0.84,N,A,1,X,X,A,B,N,Y,B,1
219,6,11,452.2,125,528,258,1,0,0.22,N,A,0,X,X,J,J,N,Y,B,1
220,7,10,260,327,172,49,0.86,0.14,0.53,N,A,2,Y,N,A,B,Y,Y,A,1
221,11,22,2801.52,69,530,143,0.18,0.82,0.18,N,I,1,N,N,A,B,N,Y,B,1
222,8,20,2222,190,125,74,0.75,0.25,0.76,N,I,1,N,N,A,B,Y,Y,A,1
223,9,17,2778.4,319,591,162,0.89,0.11,0.66,N,I,5,N,N,A,M,Y,Y,A,1
224,13,28,544,126,372,75,0.54,0.46,0.67,N,A,0,X,X,A,B,Y,Y,A,1
225,7,7,842.9,49,267,107,0.43,0.57,0.52,N,A,0,X,X,X,X,N,N,C,0
226,6,12,2402,363,369,221,0,1,0.2,N,K,5,N,N,C,M,N,Y,B,1
227,35,70,1723,42,159,46,0.66,0.34,0.69,N,A,2,X,X,N,M,N,Y,B,0
228,7,15,510,18,578,159,1,0,0.86,N,A,0,X,X,E,B,N,Y,B,1
229,18,38,1165,212,278,81,0.39,0.61,0.51,N,A,0,X,X,O,B,N,Y,B,0
230,111,271,8884,0,110,14,0.77,0.23,0.68,N,J,5,N,N,E,M,N,Y,B,0
231,8,8,387,0,279,144,0.75,0.25,0.59,N,A,0,X,X,A,B,Y,Y,A,0
232,6,10,1807,261,188,102,0.5,0.5,0.7,N,A,0,X,X,X,X,N,N,D,1
233,11,18,590,349,212,80,0.36,0.64,0.49,N,A,0,X,X,N,G,N,Y,B,1
234,30,61,1944,154,383,50,0.77,0.23,0.64,N,I,5,N,Y,K,O,Y,Y,A,1
235,29,52,1866,28,197,40,0.41,0.59,0.61,N,E,4,N,N,M,D,N,Y,B,0
236,6,14,652,191,951,257,1,0,0.25,N,A,0,X,X,A,F,Y,Y,A,1
237,7,17,2952,49,390,119,0.43,0.57,0.4,N,A,0,X,X,A,F,Y,Y,A,1
238,10,10,706,154,315,108,1,0,0.76,N,I,2,N,N,F,K,N,Y,B,1
239,22,40,4803,167,207,56,0.68,0.32,0.53,N,K,5,N,N,A,B,Y,Y,A,0
240,76,84,2982.5,126,144,20,0.55,0.45,0.35,N,A,2,X,X,B,M,N,Y,B,0
241,8,12,892,321,713,174,0,1,0.22,N,A,0,X,X,D,G,N,Y,B,1
242,7,15,2247,70,563,230,0.86,0.14,0.41,N,I,5,N,N,A,F,Y,Y,A,0
243,34,62,2559,70,280,47,0.76,0.24,0.62,N,I,5,N,N,A,B,Y,Y,A,0
244,8,17,908,126,117,26,0.5,0.5,0.06,N,I,1,N,N,A,F,N,Y,B,0
245,9,18,385,3,767,183,0.67,0.33,0.71,N,A,0,X,X,A,B,Y,Y,A,1
246,12,24,260,126,462,117,0,1,0.45,N,A,0,X,X,G,G,N,Y,B,0
247,7,8,253,126,931,246,0.43,0.57,0.59,N,A,0,X,X,O,G,Y,Y,A,1
248,7,14,528,126,368,165,1,0,0.92,N,A,0,X,X,H,D,N,Y,B,0
249,6,6,491,126,901,295,0.83,0.17,1,N,A,0,X,X,A,G,Y,Y,A,0
250,10,22,3072,79,425,128,0.4,0.6,0.6,N,I,5,N,N,E,N,N,Y,B,0
251,11,35,4048,0,273,116,0.09,0.91,0.38,N,J,5,N,N,B,M,N,Y,B,0
252,11,14,437.6,133,518,128,0.36,0.64,0.55,N,A,0,X,X,G,C,N,Y,B,1
253,18,18,811,36,340,90,0.11,0.89,0.13,N,A,0,X,X,N,J,N,Y,B,0
254,6,24,4316,267,364,242,0.33,0.67,0.07,N,I,5,N,N,B,F,N,Y,B,0
255,37,96,1172,42,370,44,0.14,0.86,0.68,N,A,2,X,X,H,C,N,Y,B,1
256,6,12,240,246,189,70,1,0,0.58,N,A,0,X,X,K,G,Y,Y,A,1
257,11,20,3364.2,321,816,91,0.18,0.82,0.38,N,A,0,X,X,A,B,Y,Y,A,0
258,6,24,200,8,281,103,0,1,0.51,N,A,0,X,X,O,B,N,Y,B,1
259,16,47,6217.1,21,340,98,0.19,0.81,0.8,N,I,2,N,N,C,F,N,Y,B,0
260,14,17,2183,42,226,117,0.71,0.29,0.55,N,A,0,X,X,B,F,N,Y,B,0
261,319,400,4291.5,1,123,5,0.63,0.37,0.68,N,A,0,X,X,A,B,Y,Y,A,0
262,38,50,3330,28,129,43,0.71,0.29,0.72,N,I,5,N,N,A,C,Y,Y,A,0
263,8,20,1500,59,201,106,0.38,0.62,0.62,N,A,0,X,X,B,C,N,Y,B,1
264,6,14,866,126,567,289,0.83,0.17,0.4,N,A,2,X,X,A,B,Y,Y,A,0
265,73,145,23034,51,252,21,0.97,0.03,0.53,N,J,5,N,N,A,F,Y,Y,A,0
266,69,89,5378.83,1,155,23,0.55,0.45,0.69,N,A,0,X,X,A,B,Y,Y,A,0
267,8,24,794,126,533,126,0.75,0.25,0.53,N,A,0,X,X,A,C,Y,Y,A,1
268,17,42,5070,35,360,98,0.53,0.47,0.1,N,K,5,N,N,B,M,N,Y,B,1
269,9,18,1023,42,535,182,0.22,0.78,0.26,N,A,0,X,X,A,F,Y,Y,A,0
270,8,16,146,38,356,154,0.25,0.75,1,N,A,0,X,X,B,B,N,Y,B,1
271,46,48,3456.75,34,287,35,0.52,0.48,0.51,N,I,5,N,N,C,M,N,Y,B,0
272,7,14,2550,309,151,104,0.14,0.86,0.79,N,A,0,X,X,A,B,Y,Y,A,1
273,6,10,1020,126,735,295,0.5,0.5,0.67,N,A,0,X,X,B,M,N,Y,B,1
274,46,88,5208,0,203,36,0.17,0.83,0.47,N,J,5,N,N,B,M,N,Y,B,0
275,9,9,119,26,570,183,0.67,0.33,1,N,A,0,X,X,A,G,Y,Y,A,0
276,26,41,6278.26,28,239,64,0.42,0.58,0.33,N,I,5,N,N,A,B,Y,Y,A,0
277,14,36,2020,42,456,99,0.36,0.64,0.87,N,A,0,X,X,B,M,N,Y,B,1
278,7,14,1042.9,42,623,260,0.86,0.14,0.73,N,I,1,N,N,A,F,Y,Y,A,0
279,9,30,3470,8,189,44,0.56,0.44,0.42,N,I,2,N,N,C,F,N,Y,B,0
280,11,29,157,28,370,151,0.27,0.73,0.39,N,A,0,X,X,H,A,N,Y,B,1
281,7,10,1118,57,518,247,0.57,0.43,0.26,N,A,0,X,X,A,B,Y,Y,A,1
282,26,50,3186,20,264,63,0.31,0.69,0.6,N,A,0,X,X,F,C,N,Y,B,0
283,9,15,1582,267,264,164,0.56,0.44,0.82,N,I,4,N,N,A,F,Y,Y,A,0
284,6,13,750,65,1104,268,0.67,0.33,0.27,N,A,0,X,X,B,B,N,Y,B,0
